001	F
002	M
003	M
004	M
005	F
006	M
007	M
008	M
009	M
010	M
011	M
012	M
013	F
014	M
015	M
016	M
017	F
018	M
019	M
020	M
021	M
022	M
023	F
024	F
025	M
026	M
027	M
028	M
029	M
030	F
031	M
032	F
033	M
034	M
035	M
036	F
037	F
038	F
039	M
040	F
041	M
042	M
043	M
044	M
045	F
046	F
047	M
048	M
049	M
050	M
051	M
052	F
053	F
054	M
055	M
056	M
057	F
058	F
059	M
060	M
061	M
062	M
063	M
064	M
065	M
066	F
067	M
068	M
069	M
070	F
071	F
072	F
073	M
074	M
075	M
076	F
077	M
078	F
079	F
080	M
081	M
082	M
083	M
084	F
085	M
086	F
087	F
088	M
089	M
090	M
091	F
092	F
093	M
094	M
095	M
096	M
097	M
098	F
099	M
100	F
